Cumulative emissions of NOx from lightning
t top of cloud (16km) 100% of NOx has been
emitted into the column. At surface (0km) 0%
of NOx has been emitted into the column.
O. A. Sovde, August 2011
Taken from Table 2, Pickering et al., JGR, 1998
 
 For subtropics I use midlatitude  
------------------------------------------------------
     Tropical     Tropical  Midlatitude  Subtropical  
       Marine  Continental  Continental  Continental  
------------------------------------------------------
       7.7606       9.2872      21.6089      21.6089
       7.7760       9.2971      21.6210      21.6210
       7.7913       9.3070      21.6332      21.6332
       7.8067       9.3169      21.6454      21.6454
       7.8221       9.3267      21.6576      21.6576
       7.8374       9.3366      21.6698      21.6698
       7.8528       9.3465      21.6820      21.6820
       7.8681       9.3563      21.6941      21.6941
       7.8835       9.3662      21.7063      21.7063
       7.8989       9.3761      21.7185      21.7185
       7.9142       9.3859      21.7307      21.7307
       7.9296       9.3958      21.7429      21.7429
       7.9449       9.4057      21.7551      21.7551
       7.9603       9.4155      21.7672      21.7672
       7.9757       9.4254      21.7794      21.7794
       7.9910       9.4353      21.7916      21.7916
       8.0064       9.4451      21.8038      21.8038
       8.0217       9.4550      21.8160      21.8160
       8.0371       9.4649      21.8281      21.8281
       8.0525       9.4747      21.8403      21.8403
       8.0678       9.4846      21.8525      21.8525
       8.0832       9.4945      21.8647      21.8647
       8.0986       9.5043      21.8769      21.8769
       8.1139       9.5142      21.8891      21.8891
       8.1293       9.5241      21.9012      21.9012
       8.1446       9.5339      21.9134      21.9134
       8.1600       9.5438      21.9256      21.9256
       8.1754       9.5537      21.9378      21.9378
       8.1907       9.5636      21.9500      21.9500
       8.2061       9.5734      21.9622      21.9622
       8.2214       9.5833      21.9743      21.9743
       8.2368       9.5932      21.9865      21.9865
       8.2522       9.6030      21.9987      21.9987
       8.2675       9.6129      22.0109      22.0109
       8.2829       9.6228      22.0231      22.0231
       8.2982       9.6326      22.0352      22.0352
       8.3136       9.6425      22.0474      22.0474
       8.3290       9.6524      22.0596      22.0596
       8.3443       9.6622      22.0718      22.0718
       8.3597       9.6721      22.0840      22.0840
       8.3750       9.6820      22.0962      22.0962
       8.3904       9.6918      22.1083      22.1083
       8.4058       9.7017      22.1205      22.1205
