Cumulative emissions of NOx from lightning
At top of cloud (16km) 100% of NOx has been
emitted into the column. At surface (0km) 0%
of NOx has been emitted into the column.
Lee T. Murray, 20th April 2009
Taken from Table 2, Ott et al., submitted to JGR, 2009


------------------------------------------------------
     Tropical     Tropical  Midlatitude  Subtropical  
       Marine  Continental  Continental  Continental  
------------------------------------------------------
       0.5867       0.1956       1.9326       0.9203
       0.5899       0.1966       1.9431       0.9253
       0.5931       0.1977       1.9536       0.9303
       0.5962       0.1987       1.9641       0.9353
       0.5994       0.1998       1.9746       0.9403
       0.6066       0.2022       1.9851       0.9453
       0.6145       0.2048       1.9956       0.9503
       0.6225       0.2075       2.0061       0.9553
       0.6305       0.2102       2.0166       0.9603
       0.6384       0.2128       2.0271       0.9653
       0.6464       0.2155       2.0376       0.9703
       0.6544       0.2181       2.0481       0.9753
       0.6624       0.2208       2.0586       0.9803
       0.6703       0.2234       2.0691       0.9853
       0.6783       0.2261       2.0796       0.9903
       0.6863       0.2288       2.0902       0.9953
       0.6942       0.2314       2.1007       1.0007
       0.7022       0.2341       2.1112       1.0112
       0.7102       0.2367       2.1217       1.0217
       0.7182       0.2394       2.1322       1.0322
       0.7261       0.2420       2.1427       1.0427
       0.7341       0.2447       2.1532       1.0532
       0.7421       0.2474       2.1637       1.0637
       0.7500       0.2500       2.1742       1.0742
       0.7580       0.2527       2.1847       1.0847
       0.7660       0.2553       2.1952       1.0952
       0.7740       0.2580       2.2057       1.1057
       0.7819       0.2606       2.2162       1.1162
       0.7899       0.2633       2.2267       1.1267
       0.7979       0.2660       2.2372       1.1372
       0.8058       0.2686       2.2477       1.1477
       0.8138       0.2713       2.2582       1.1582
       0.8218       0.2739       2.2687       1.1687
       0.8298       0.2766       2.2792       1.1792
       0.8377       0.2792       2.2897       1.1897
       0.8457       0.2819       2.3002       1.2002
       0.8537       0.2846       2.3107       1.2107
       0.8616       0.2872       2.3212       1.2212
       0.8696       0.2899       2.3317       1.2317
       0.8776       0.2925       2.3422       1.2422
       0.8856       0.2952       2.3527       1.2527
       0.8935       0.2978       2.3632       1.2632
       0.9015       0.3005       2.3737       1.2737
       0.9095       0.3032       2.3842       1.2842
       0.9174       0.3058       2.3947       1.2947
       0.9254       0.3085       2.4109       1.3053
       0.9334       0.3111       2.4328       1.3158
       0.9414       0.3138       2.4547       1.3263
       0.9493       0.3164       2.4766       1.3368
       0.9573       0.3191       2.4985       1.3473
       0.9653       0.3218       2.5204       1.3578
       0.9732       0.3244       2.5422       1.3683
       0.9812       0.3271       2.5641       1.3788
       0.9892       0.3297       2.5860       1.3893
       0.9972       0.3324       2.6079       1.3998
       1.0051       0.3350       2.6298       1.4103
       1.0131       0.3377       2.6516       1.4208
       1.0211       0.3404       2.6735       1.4313
       1.0290       0.3430       2.6954       1.4418
       1.0370       0.3457       2.7173       1.4523
       1.0450       0.3483       2.7392       1.4628
       1.0530       0.3510       2.7611       1.4733
       1.0609       0.3536       2.7829       1.4838
       1.0689       0.3563       2.8048       1.4943
       1.0769       0.3590       2.8267       1.5048
       1.0848       0.3616       2.8486       1.5153
       1.0928       0.3643       2.8705       1.5258
       1.1008       0.3669       2.8923       1.5363
       1.1088       0.3696       2.9142       1.5468
       1.1167       0.3722       2.9361       1.5573
       1.1247       0.3749       2.9580       1.5678
       1.1327       0.3776       2.9799       1.5783
       1.1406       0.3802       3.0018       1.5888
       1.1486       0.3829       3.0236       1.5993
       1.1566       0.3855       3.0455       1.6098
       1.1646       0.3882       3.0674       1.6204
       1.1725       0.3908       3.0893       1.6309
       1.1805       0.3935       3.1112       1.6414
       1.1885       0.3962       3.1330       1.6519
       1.1964       0.3988       3.1549       1.6624
       1.2044       0.4015       3.1768       1.6729
       1.2124       0.4041       3.1987       1.6834
       1.2204       0.4068       3.2206       1.6939
       1.2283       0.4094       3.2425       1.7044
       1.2363       0.4121       3.2643       1.7149
       1.2443       0.4148       3.2862       1.7254
       1.2522       0.4174       3.3081       1.7359
       1.2602       0.4201       3.3300       1.7464
       1.2682       0.4227       3.3519       1.7569
       1.2761       0.4254       3.3737       1.7674
       1.2841       0.4280       3.3956       1.7779
       1.2921       0.4307       3.4175       1.7884
       1.3001       0.4334       3.4394       1.7989
